"COMMISSIONE","NOMI","ATTO","DATA"
"12ª (Sanita') e 13ª (Ambiente)","FEDERMEP ; AISAD ; Associazione italiana aracnologia ; ENCI ; AIPA","Audizioni AG n. 383 (fauna selvatica ed esotica)","20 Giugno 2022"
"12 (Sanità)","Legambiente, Lipu e WWf ; ANMVI ; SIVEMP","Atto del Governo n. 382(malattie animali)","20 Giugno 2022"
"12 (Sanità)","Confartigianato Odontotecnici, CNA SNO Odontotecnici, Casartigiani Odontotecnici","AG 384-385 (dispositivi medici) audizioni","16 Giugno 2022"
"12 (Sanità)","FIDC ; ASSALCO ; FOI ; LAV ; WWF, Lipu e Legambiente","Audizioni AG n. 383 (fauna selvatica ed esotica)","15 Giugno 2022"
"12 (Sanità)","AIA ; MIPAAF ; LAV ; FNOVI","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)","14 Giugno 2022"
"12ª (Sanita') e 13ª (Ambiente)","ANMVI ; SIVAE ; FNOVI","Audizioni AG n. 383 (fauna selvatica ed esotica)","14 Giugno 2022"
"9ª (Agricoltura) e 12ª (Sanita')","FNOVI","Atto del Governo n. 382(malattie animali)","13 Giugno 2022"
"12ª (Sanita') e 13ª (Ambiente)","Prof. Cicchetti ; Dott. Barberio","AG 384-385 (dispositivi medici) audizioni","13 Giugno 2022"
"9ª (Agricoltura) e 12ª (Sanita')","Legambiente, Lipu e WWf ; Coldiretti ; Uecoop","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)","30 Maggio 2022"
"12 (Sanità)","Istituto zooprofilattico Umbria e Marche","Atto del Governo n. 382(malattie animali)","26 Maggio 2022"
"12 (Sanità)","LAV","AG 384-385 (dispositivi medici) audizioni","24 Maggio 2022"
"12 (Sanità)","Confindustria dispositivi medici","AG 384-385 (dispositivi medici) audizioni","24 Maggio 2022"
"12 (Sanità)","Associazione Medici Diabetologi (AMD) e della Società Italiana di Diabetologia (SID)","Affare assegnato sul potenziamento e riqualificazione della medicina territoriale nell'epoca post Covid (n. 569)","17 Maggio 2022"
"12 (Sanità)","COES Italia","Audizioni ddl autista soccorritore","17 Maggio 2022"
"12 (Sanità)","AISE ; CONI","Audizioni ddl 913 (esercizio fisico)","10 Maggio 2022"
"12 (Sanità)","CONFAPI Sanità ; SIGG","Affare assegnato sul potenziamento e riqualificazione della medicina territoriale nell'epoca post Covid (n. 569)"," 3 Maggio 2022"
"12 (Sanità)","Commissione nazionale d'Albo dei Podologi ; Network Place Innovazione Biomedica","Affare assegnato sul potenziamento e riqualificazione della medicina territoriale nell'epoca post Covid (n. 569)"," 6 Aprile 2022"
"9ª (Agricoltura) e 12ª (Sanita')","Consorzio Prosciutto di Parma ; Associazione Italiana Allevatori ; LAV ; ANMVI ; Federparchi ; ASSICA e UNAITALIA ; Prof. Ferroglio","Audizioni ddl 2533 (contrasto peste suina)"," 8 Marzo 2022"
"9ª (Agricoltura) e 12ª (Sanita')","UNCIAGROALIMENTARE ; COLDIRETTI","Audizioni ddl 2533 (contrasto peste suina)"," 7 Marzo 2022"
"9ª (Agricoltura) e 12ª (Sanita')","Comando unità forestali, ambientali e agroalimentari dell'Arma dei Carabinieri ; Assessorato all'agricoltura, alimentazione e sistemi verdi della regione Lombardia","Audizioni ddl 2533 (contrasto peste suina)"," 4 Marzo 2022"
"9ª (Agricoltura) e 12ª (Sanita')","Dott. Alberto LADDOMADA ; SIVEMP ; ENPA","Audizioni ddl 2533 (contrasto peste suina)"," 4 Marzo 2022"
"9ª (Agricoltura) e 12ª (Sanita')","Conferenza delle Regioni e delle Province Autonome","Audizioni ddl 2533 (contrasto peste suina)"," 3 Marzo 2022"
