"COMMISSIONE","NOMI","ATTO","DATA"
"9 (Agricoltura)","ITALIA SOLARE","Affare assegnato n. 1166 (Problematiche relative allo sviluppo e alla diffusione degli impianti fotovoltaici nelle aree agricole)",2020-07-13
"9 (Agricoltura)","Competere Policies for Sustainable Development","Affare assegnato n. 627 (problematiche connesse alla riforma della Politica Agricola Comune - PAC) anche nell'ottica degli interventi per contrastare gli effetti del COVID-19",2020-07-13
"9 (Agricoltura)","Associazione italiana industria olearia (Assitol)","Affare assegnato n. 627 (problematiche connesse alla riforma della Politica Agricola Comune - PAC) anche nell'ottica degli interventi per contrastare gli effetti del COVID-19",2020-07-13
"9 (Agricoltura)","Unione Italiana per l'Olio di Palma Sostenibile","Affare assegnato n. 627 (problematiche connesse alla riforma della Politica Agricola Comune - PAC) anche nell'ottica degli interventi per contrastare gli effetti del COVID-19",2020-07-13
"9 (Agricoltura)","Simbiosi Srl - NEORURALEHUB","Affare assegnato n. 1004 (Problematiche concernenti le modalità di attuazione della strategia Farm to Fork e le sue ricadute nell'agricoltura italiana)",2020-07-12
"9 (Agricoltura)","ENEL SpA","Affare assegnato n. 1166 (Problematiche relative allo sviluppo e alla diffusione degli impianti fotovoltaici nelle aree agricole)",2020-07-06
"9 (Agricoltura)","professoressa Maria Lisa Clodoveo dell'Università di Bari","Affare assegnato n. 833 (Problematiche connesse alla realizzazione di un nuovo piano per l'olivicoltura)",2020-07-06
"9 (Agricoltura)","Alleanza per il Fotovoltaico in Italia","Affare assegnato n. 1166 (Problematiche relative allo sviluppo e alla diffusione degli impianti fotovoltaici nelle aree agricole)",2020-06-15
"9 (Agricoltura) ; 12 (Sanita')","AIA","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)",2020-06-14
"9 (Agricoltura) ; 12 (Sanita')","MIPAAF","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)",2020-06-14
"9 (Agricoltura) ; 12 (Sanita')","LAV","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)",2020-06-14
"9 (Agricoltura) ; 12 (Sanita')","FNOVI","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)",2020-06-14
"9 (Agricoltura) ; 12 (Sanita')","Legambiente-Lipu-WWF","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)",2020-05-30
"9 (Agricoltura) ; 12 (Sanita')","Coldiretti","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)",2020-05-30
"9 (Agricoltura) ; 12 (Sanita')","Uecoop","Audizioni AG n. 381 (Identificazione e registrazione operatori, stabilimenti e animali)",2020-05-30
"9 (Agricoltura)","prof. Michele Pisante dell'Università di Teramo","Affare assegnato n. 493 (Problematiche inerenti alla crisi delle filiere agricole causate dall'emergenza da COVID-19)",2020-05-25
"9 (Agricoltura)","prof. Giuseppe Pulina dell'Università di Sassari","Affare assegnato n. 493 (Problematiche inerenti alla crisi delle filiere agricole causate dall'emergenza da COVID-19)",2020-05-25
"9 (Agricoltura)","prof. Amedeo Reyneri di Lagnasco dell'Università di Torino","Affare assegnato n. 493 (Problematiche inerenti alla crisi delle filiere agricole causate dall'emergenza da COVID-19)",2020-05-25
"9 (Agricoltura)","prof. Massimo Tagliavini della Libera Università di Bolzano","Affare assegnato n. 493 (Problematiche inerenti alla crisi delle filiere agricole causate dall'emergenza da COVID-19)",2020-05-25
"9 (Agricoltura)","FOA Italia (Frantoi oleari associati)","Affare assegnato n. 833 (Problematiche connesse alla realizzazione di un nuovo piano per l'olivicoltura)",2020-05-17
"9 (Agricoltura)","Associazione Città dell'olio","Affare assegnato n. 833 (Problematiche connesse alla realizzazione di un nuovo piano per l'olivicoltura)",2020-05-12
"9 (Agricoltura)","azienda agricola Rustici SARL","Affare assegnato n. 214 (Problematiche di mercato del latte vaccino in Italia)",2020-05-04
"9 (Agricoltura)","Cassa nazionale assistenza previdenza allenatori guidatori trotto allenatori fantini galoppo","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-05-04
"9 (Agricoltura)","CNA Agroalimentare","Affare assegnato n. 1004 (Problematiche concernenti le modalità di attuazione della strategia Farm to Fork e le sue ricadute nell'agricoltura italiana)",2020-05-04
"9 (Agricoltura)","ANAC Associazione Nazionale Allevatori Cavalli Purosangue","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-05-03
"9 (Agricoltura)","ANG Associazione Nazionale Galoppo","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-05-03
"9 (Agricoltura)","ANAG Associazione Nazionale Allenatori Galoppo","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-05-03
"9 (Agricoltura)","U.P.G. Unione Proprietari Galoppo","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-05-03
"9 (Agricoltura)","UIF Unione Italiana Fantini","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-05-03
"9 (Agricoltura)",", di Fruitimprese","Affare assegnato n. 1004 (Problematiche concernenti le modalità di attuazione della strategia Farm to Fork e le sue ricadute nell'agricoltura italiana)",2020-04-26
"9 (Agricoltura)","Associazione Nazionale Allevatori del Cavallo Trottatore (ANACT)","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-04-20
"9 (Agricoltura)","Associazione Ippica Nuova","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-04-20
"9 (Agricoltura)","Comitato Ippico Guidatori Allenatori (CIGA)","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-04-20
"9 (Agricoltura)","Federazione Nazionale Amatori Trotto (FEDERNAT)","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-04-20
"9 (Agricoltura)","Organismo Ippico Italiano","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-04-20
"9 (Agricoltura)","Sindacato Italiano Allenatori Guidatori (SIAG)","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-04-20
"9 (Agricoltura)","Sindacato Nazionale Allevatori Proprietari Trotto (SNAPT)","A.S. 2189 (Istituzione dell'Agenzia autonoma per l'ippica e disposizioni per la riforma del settore)",2020-04-20
